movie id,budget,original language,original title,popularity,release date,revenue,runtime,status,average voting,vote count,genre name,production companies name,production country,production country name,Continent,director_experience_level,is_good,profit,high budget,popularity category
19995,237000000,en,Avatar,150.437577,12/10/2009,2787965087,162,Released,7.2,11800,Action,Ingenious Film Partners,US,United States of America,North America,medium,TRUE,2550965087,TRUE,High
285,300000000,en,Pirates of the Caribbean: At World's End,139.082615,5/19/2007,961000000,169,Released,6.9,4500,Adventure,Walt Disney Pictures,US,United States of America,North America,medium,FALSE,661000000,TRUE,High
206647,245000000,en,Spectre,107.376788,10/26/2015,880674609,148,Released,6.3,4466,Action,Columbia Pictures,GB,United Kingdom,Europe,medium,FALSE,635674609,TRUE,High
49026,250000000,en,The Dark Knight Rises,112.31295,7/16/2012,1084939099,165,Released,7.6,9106,Action,Legendary Pictures,US,United States of America,North America,medium,TRUE,834939099,TRUE,High
49529,260000000,en,John Carter,43.926995,3/7/2012,284139100,132,Released,6.1,2124,Action,Walt Disney Pictures,US,United States of America,North America,low,FALSE,24139100,TRUE,Medium
559,258000000,en,Spider-Man 3,115.699814,5/1/2007,890871626,139,Released,5.9,3576,Fantasy,Columbia Pictures,US,United States of America,North America,high,FALSE,632871626,TRUE,High
38757,260000000,en,Tangled,48.681969,11/24/2010,591794936,100,Released,7.4,3330,Animation,Walt Disney Pictures,US,United States of America,North America,low,TRUE,331794936,TRUE,Medium
99861,280000000,en,Avengers: Age of Ultron,134.279229,4/22/2015,1405403694,141,Released,7.3,6767,Action,Marvel Studios,US,United States of America,North America,low,TRUE,1125403694,TRUE,High
767,250000000,en,Harry Potter and the Half-Blood Prince,98.885637,7/7/2009,933959197,153,Released,7.4,5293,Adventure,Warner Bros.,GB,United Kingdom,Europe,low,TRUE,683959197,TRUE,High
209112,250000000,en,Batman v Superman: Dawn of Justice,155.790452,3/23/2016,873260194,151,Released,5.7,7004,Action,DC Comics,US,United States of America,North America,medium,FALSE,623260194,TRUE,High
1452,270000000,en,Superman Returns,57.925623,6/28/2006,391081192,154,Released,5.4,1400,Adventure,DC Comics,US,United States of America,North America,medium,FALSE,121081192,TRUE,Medium
10764,200000000,en,Quantum of Solace,107.928811,10/30/2008,586090727,106,Released,6.1,2965,Adventure,Eon Productions,GB,United Kingdom,Europe,medium,FALSE,386090727,TRUE,High
58,200000000,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,6/20/2006,1065659812,151,Released,7,5246,Adventure,Walt Disney Pictures,JM,Jamaica,North America,medium,TRUE,865659812,TRUE,High
57201,255000000,en,The Lone Ranger,49.046956,7/3/2013,89289910,149,Released,5.9,2311,Action,Walt Disney Pictures,US,United States of America,North America,medium,FALSE,-165710090,TRUE,Medium
49521,225000000,en,Man of Steel,99.398009,6/12/2013,662845518,143,Released,6.5,6359,Action,Legendary Pictures,GB,United Kingdom,Europe,medium,FALSE,437845518,TRUE,High
2454,225000000,en,The Chronicles of Narnia: Prince Caspian,53.978602,5/15/2008,419651413,150,Released,6.3,1630,Adventure,Walt Disney,CZ,Czech Republic,,medium,FALSE,194651413,TRUE,Medium
24428,220000000,en,The Avengers,144.448633,4/25/2012,1519557910,143,Released,7.4,11776,Science Fiction,Paramount Pictures,US,United States of America,North America,low,TRUE,1299557910,TRUE,High
1865,380000000,en,Pirates of the Caribbean: On Stranger Tides,135.413856,5/14/2011,1045713802,136,Released,6.4,4948,Adventure,Walt Disney Pictures,US,United States of America,North America,medium,FALSE,665713802,TRUE,High
41154,225000000,en,Men in Black 3,52.035179,5/23/2012,624026776,106,Released,6.2,4160,Action,Amblin Entertainment,US,United States of America,North America,medium,FALSE,399026776,TRUE,Medium
122917,250000000,en,The Hobbit: The Battle of the Five Armies,120.965743,12/10/2014,956019788,144,Released,7.1,4760,Action,WingNut Films,NZ,New Zealand,Oceania,medium,TRUE,706019788,TRUE,High
1930,215000000,en,The Amazing Spider-Man,89.866276,6/27/2012,752215857,136,Released,6.5,6586,Action,Columbia Pictures,US,United States of America,North America,low,FALSE,537215857,TRUE,High
20662,200000000,en,Robin Hood,37.668301,5/12/2010,310669540,140,Released,6.2,1398,Action,Imagine Entertainment,GB,United Kingdom,Europe,high,FALSE,110669540,TRUE,Medium
57158,250000000,en,The Hobbit: The Desolation of Smaug,94.370564,12/11/2013,958400000,161,Released,7.6,4524,Adventure,WingNut Films,NZ,New Zealand,Oceania,medium,TRUE,708400000,TRUE,High
2268,180000000,en,The Golden Compass,42.990906,12/4/2007,372234864,113,Released,5.8,1303,Adventure,New Line Cinema,GB,United Kingdom,Europe,medium,FALSE,192234864,TRUE,Medium
254,207000000,en,King Kong,61.22601,12/14/2005,550000000,187,Released,6.6,2337,Adventure,WingNut Films,NZ,New Zealand,Oceania,medium,FALSE,343000000,TRUE,Medium
597,200000000,en,Titanic,100.025899,11/18/1997,1845034188,194,Released,7.5,7562,Drama,Paramount Pictures,US,United States of America,North America,medium,TRUE,1645034188,TRUE,High
271110,250000000,en,Captain America: Civil War,198.372395,4/27/2016,1153304495,147,Released,7.1,7241,Adventure,Studio Babelsberg,US,United States of America,North America,low,TRUE,903304495,TRUE,High
44833,209000000,en,Battleship,64.928382,4/11/2012,303025485,131,Released,5.5,2114,Thriller,Universal Pictures,US,United States of America,North America,medium,FALSE,94025485,TRUE,Medium
135397,150000000,en,Jurassic World,418.708552,6/9/2015,1513528810,124,Released,6.5,8662,Action,Universal Studios,US,United States of America,North America,low,FALSE,1363528810,TRUE,High
